# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Oct 14 11:23:46 CEST 2022 [seed=1665739425378]
# -overwrite All_clades.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate_1	location.meanRate_4	location.meanRate_8	location.meanRate_11	location.meanRate_17	location.meanRate_33	location.meanRate_34	location.meanRate_67	location.meanRate_77	location.meanRate_84	location.meanRate_106	location.meanRate_110	location.meanRate_139	location.meanRate_141	location.meanRate_147	location.meanRate_161	location.meanRate_188	location.meanRate_190	location.meanRate_219	location.meanRate_220	location.meanRate_233	location.meanRate_240	location.meanRate_247	location.meanRate_254	location.meanRate_258	location.meanRate_269	location.meanRate_276	location.meanRate_277	location.meanRate_283	location.rates.NewYork.Bronx	location.rates.NewYork.Kings	location.rates.NewYork.Queens	location.rates.NewYork.Richmond	location.rates.NewYork.Nassau	location.rates.NewYork.Suffolk	location.rates.NewYork.Westchester	location.rates.Bronx.Kings	location.rates.Bronx.Queens	location.rates.Bronx.Richmond	location.rates.Bronx.Nassau	location.rates.Bronx.Suffolk	location.rates.Bronx.Westchester	location.rates.Kings.Queens	location.rates.Kings.Richmond	location.rates.Kings.Nassau	location.rates.Kings.Suffolk	location.rates.Kings.Westchester	location.rates.Queens.Richmond	location.rates.Queens.Nassau	location.rates.Queens.Suffolk	location.rates.Queens.Westchester	location.rates.Richmond.Nassau	location.rates.Richmond.Suffolk	location.rates.Richmond.Westchester	location.rates.Nassau.Suffolk	location.rates.Nassau.Westchester	location.rates.Suffolk.Westchester	location.rates.Bronx.NewYork	location.rates.Kings.NewYork	location.rates.Queens.NewYork	location.rates.Richmond.NewYork	location.rates.Nassau.NewYork	location.rates.Suffolk.NewYork	location.rates.Westchester.NewYork	location.rates.Kings.Bronx	location.rates.Queens.Bronx	location.rates.Richmond.Bronx	location.rates.Nassau.Bronx	location.rates.Suffolk.Bronx	location.rates.Westchester.Bronx	location.rates.Queens.Kings	location.rates.Richmond.Kings	location.rates.Nassau.Kings	location.rates.Suffolk.Kings	location.rates.Westchester.Kings	location.rates.Richmond.Queens	location.rates.Nassau.Queens	location.rates.Suffolk.Queens	location.rates.Westchester.Queens	location.rates.Nassau.Richmond	location.rates.Suffolk.Richmond	location.rates.Westchester.Richmond	location.rates.Suffolk.Nassau	location.rates.Westchester.Nassau	location.rates.Westchester.Suffolk	location.indicators.NewYork.Bronx	location.indicators.NewYork.Kings	location.indicators.NewYork.Queens	location.indicators.NewYork.Richmond	location.indicators.NewYork.Nassau	location.indicators.NewYork.Suffolk	location.indicators.NewYork.Westchester	location.indicators.Bronx.Kings	location.indicators.Bronx.Queens	location.indicators.Bronx.Richmond	location.indicators.Bronx.Nassau	location.indicators.Bronx.Suffolk	location.indicators.Bronx.Westchester	location.indicators.Kings.Queens	location.indicators.Kings.Richmond	location.indicators.Kings.Nassau	location.indicators.Kings.Suffolk	location.indicators.Kings.Westchester	location.indicators.Queens.Richmond	location.indicators.Queens.Nassau	location.indicators.Queens.Suffolk	location.indicators.Queens.Westchester	location.indicators.Richmond.Nassau	location.indicators.Richmond.Suffolk	location.indicators.Richmond.Westchester	location.indicators.Nassau.Suffolk	location.indicators.Nassau.Westchester	location.indicators.Suffolk.Westchester	location.indicators.Bronx.NewYork	location.indicators.Kings.NewYork	location.indicators.Queens.NewYork	location.indicators.Richmond.NewYork	location.indicators.Nassau.NewYork	location.indicators.Suffolk.NewYork	location.indicators.Westchester.NewYork	location.indicators.Kings.Bronx	location.indicators.Queens.Bronx	location.indicators.Richmond.Bronx	location.indicators.Nassau.Bronx	location.indicators.Suffolk.Bronx	location.indicators.Westchester.Bronx	location.indicators.Queens.Kings	location.indicators.Richmond.Kings	location.indicators.Nassau.Kings	location.indicators.Suffolk.Kings	location.indicators.Westchester.Kings	location.indicators.Richmond.Queens	location.indicators.Nassau.Queens	location.indicators.Suffolk.Queens	location.indicators.Westchester.Queens	location.indicators.Nassau.Richmond	location.indicators.Suffolk.Richmond	location.indicators.Westchester.Richmond	location.indicators.Suffolk.Nassau	location.indicators.Westchester.Nassau	location.indicators.Westchester.Suffolk	location.nonZeroRates	location.branchRates	location.treeLikelihood_1	location.treeLikelihood_4	location.treeLikelihood_8	location.treeLikelihood_11	location.treeLikelihood_17	location.treeLikelihood_33	location.treeLikelihood_34	location.treeLikelihood_67	location.treeLikelihood_77	location.treeLikelihood_84	location.treeLikelihood_106	location.treeLikelihood_110	location.treeLikelihood_139	location.treeLikelihood_141	location.treeLikelihood_147	location.treeLikelihood_161	location.treeLikelihood_188	location.treeLikelihood_190	location.treeLikelihood_219	location.treeLikelihood_220	location.treeLikelihood_233	location.treeLikelihood_240	location.treeLikelihood_247	location.treeLikelihood_254	location.treeLikelihood_258	location.treeLikelihood_269	location.treeLikelihood_276	location.treeLikelihood_277	location.treeLikelihood_283
0	-5812.654746719109	-463.26456724394797	-5349.390179475162	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	56.0	0.0	-4938.769217683448	-11.406799573189673	-2.344334028933814	-13.52272921418763	-6.084296329965475	-2.2111400231792806	-10.936582873149925	-7.439407122635353	-7.102359935858468	-11.046590834148926	-2.125465497397126	-2.121024474727089	-62.528773521361884	-6.636850178870569	-23.05042390582781	-15.050783858980207	-93.48306132472467	-17.957532992777463	-2.253139739155861	-11.27566755406654	-19.533065072384346	-17.216125568472005	-2.1207110270855076	-2.1362699457109455	-22.33614681009411	-10.274313645575779	-6.890804704591833	-6.246056839889365	-15.290505194770919
1000000	-6039.859839306177	-739.0243953724017	-5300.8354439337745	2.783248016753529	2.7832480167535287	2.783248016753529	2.78324801675353	2.7832480167535296	2.783248016753529	2.783248016753529	2.783248016753529	2.7832480167535287	2.7832480167535296	2.783248016753529	2.783248016753529	2.783248016753529	2.7832480167535296	2.7832480167535287	2.7832480167535287	2.783248016753529	2.783248016753528	2.783248016753529	2.783248016753529	2.7832480167535283	2.7832480167535283	2.7832480167535287	2.7832480167535287	2.7832480167535287	2.7832480167535296	2.783248016753529	2.783248016753529	2.7832480167535296	2.783248016753529	3.8558077031028675	1.7672557689536075	2.435135632897169	0.30119580709544996	1.257163171193034	0.5989052846006357	1.3070242282750693	1.3658249151438036	2.5262531565319204	0.7542140015102424	1.5845219629761917	0.9531258732928101	0.9914973122123113	0.7757267786454549	1.5455025004009484	0.5422013206699985	2.5571903012029327	0.5198851698068028	0.8015894406745402	1.469950306130227	0.36494344107260585	0.12217060484476484	0.43069805982470954	0.04193953367571812	6.346028932455814	0.4055710187245215	0.8716709082231638	0.20667934361966261	4.581389165779713	1.0871625540256267	1.9473323884507723	0.432838127559978	0.9083143885770227	2.1420900327226797	0.2908123704332262	1.550028577328592	1.1345765681456126	0.12739221584961316	1.2554746992368044	1.2207029048655798	0.14307750682387385	1.2362384193466047	0.8616253229199442	0.3811489039608166	5.108662459197377	1.4526958314044944	1.8961523109839402	1.6253731129970177	1.9166072113393446	0.6069590580615273	0.06421482833558494	0.45127375450190055	4.418830340730222	0.04206576185083398	0.47601009052397414	0.07995238410917373	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	27.0	0.0	-4925.373772880558	-10.949150028077083	-1.2137883986470883	-9.16673538312176	-4.358790781145032	-2.1806263791900187	-10.574982762768702	-8.95612073713893	-9.349941023057735	-7.334875208688247	-2.3523893816018875	-1.8313643491717226	-68.2407742254666	-7.298107098138407	-22.43111286740921	-14.978681956466945	-86.17897170320798	-13.782843259058817	-2.965781961581184	-14.423953931060828	-16.802693002153845	-13.92992343048898	-0.9328738577963056	-2.0009620928357696	-12.177285542810797	-6.059023885067543	-5.800033396335412	-8.372213295588036	-10.817671115140268
2000000	-5993.825353792736	-790.6662876876409	-5203.159066105095	3.0699114227989006	3.0699114227988957	3.0699114227989006	3.069911422798901	3.0699114227989015	3.0699114227989006	3.0699114227989006	3.0699114227989006	3.0699114227989	3.0699114227989006	3.0699114227989006	3.0699114227989006	3.0699114227989006	3.0699114227989015	3.0699114227988997	3.0699114227989	3.0699114227989006	3.0699114227989	3.0699114227989006	3.0699114227989	3.0699114227989	3.0699114227989	3.0699114227989006	3.069911422798901	3.0699114227989006	3.069911422798901	3.0699114227989	3.069911422798901	3.0699114227989006	3.0699114227989006	4.712838897521789	1.9508961643647236	2.340226543111666	0.4612766754777167	1.6920100387089654	0.5591343016648412	0.8390892249679945	1.4748574237787846	2.7227813151668214	1.093269984376929	1.219830831458842	0.7621352075296445	2.076982422439295	1.7201231214647872	3.7757787581689635	1.5163945273934785	3.1830846181145875	2.5131255118493443	0.4372417588555169	0.5419151677094041	5.528361903334062	1.2024823457060763	0.49790023357271046	0.1801788940659748	1.7899691708051777	0.3292121043384843	1.2613530377022997	1.4492061711941653	3.6836263204419724	0.8011835569934644	2.710534582630945	0.5012586230362466	0.9440765429046518	0.0461860171947987	1.0418084763047157	1.8853871066707075	1.5042810830073874	0.23163931825674156	0.042650436521110356	0.8658366030653704	0.49348820095295537	1.0183816113408568	0.5387152275852706	1.6037275381934897	0.07805277524964832	2.6779023204825614	2.6148423391717603	1.7605745867010638	0.5249151396836873	0.9088838068807812	0.7329220167148472	0.45099207491481086	0.12707982731052964	0.264072092098029	0.13979307472378252	4.929527449195918	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	23.0	0.0	-4841.973711827957	-9.632021674552607	-1.0630375566983592	-10.883900086434886	-11.955645082448047	-1.6755858880475962	-9.856323917574878	-7.710289481545022	-10.389895234760496	-8.434050003039903	-1.534420018305603	-1.2839114044848217	-65.91912499802457	-5.5384172393381235	-22.60844460330392	-20.616198082788706	-67.66008435828303	-14.282823277976433	-2.7662274311155746	-10.80809610331024	-10.566858774217586	-10.785748252188792	-3.3785223606455737	-2.731175771968515	-14.511404126261619	-6.546950103069685	-9.881660058009347	-7.6153531469169184	-10.54918524182786
3000000	-5976.5531105689	-770.1698894667066	-5206.383221102193	2.9561778288854903	2.9561778288854987	2.9561778288854894	2.9561778288854907	2.956177828885491	2.9561778288854903	2.9561778288854907	2.956177828885491	2.95617782888549	2.9561778288854903	2.9561778288854903	2.9561778288854907	2.95617782888549	2.9561778288854907	2.95617782888549	2.9561778288854894	2.9561778288854903	2.95617782888549	2.95617782888549	2.9561778288854903	2.95617782888549	2.9561778288854907	2.95617782888549	2.9561778288854903	2.9561778288854903	2.956177828885491	2.9561778288854903	2.9561778288854903	2.9561778288854907	2.95617782888549	4.11502728681395	2.1294998389904047	3.240162118477694	0.37000242919247256	1.526998177762484	0.8237809021509326	2.00156324127967	1.3978443954200648	2.494383536856468	1.1977029893912337	1.3715311782598347	0.5804062346185829	1.0907139774622578	0.09866307260585223	1.8625033422148534	0.45721047956646943	0.10073940993031064	0.5528304385654259	0.4255599779427465	0.68942897194231	0.47777570952439696	0.9490544177039325	0.7229995600371284	2.1905163149910076	0.034692381720204654	0.9504218204159652	0.5516706505047413	0.08553205433712704	6.667917969247765	1.1456602492180623	0.8333620855869732	0.20311827871183916	1.2934595732749128	0.9735281390043539	0.28172351101194876	0.7757451266711044	2.2481102171707503	1.9775716387621591	1.0179178207755148	1.8050144257835983	1.9439009893235322	1.0350029771272222	1.6023505365108255	0.7576802220434126	1.124108780599622	0.5178351778481243	3.6809472252930884	0.9803481735928077	0.9377562585479101	1.3187922618414099	3.767784688904582	0.09062553443109958	3.1441964645765252	2.2761751922745583	0.8251204352734078	1.2523156948660839	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	-4818.7645401425825	-8.848360041547933	-1.5923903711100635	-10.447038450820141	-13.667677580512116	-1.5812359333235817	-10.972252213275723	-6.862349079907787	-7.733838122808446	-8.246766257142422	-1.7261313983133957	-2.4643907754666716	-60.59819095701402	-8.492131844841094	-18.6788158036716	-20.58980640755218	-87.56984734144598	-13.92823921218124	-2.699338068407709	-15.821167240798468	-16.85750091693504	-17.907485216414265	-1.2699530325712403	-1.4079485448469886	-17.06021722936935	-7.30917241289068	-6.043194082518487	-7.80465631605466	-9.438586107868424
4000000	-6040.153466045637	-844.7714403320666	-5195.38202571357	3.1860982191220177	3.1860982191220137	3.1860982191220177	3.186098219122018	3.186098219122019	3.1860982191220173	3.186098219122018	3.1860982191220177	3.1860982191220173	3.1860982191220177	3.1860982191220177	3.1860982191220173	3.1860982191220177	3.1860982191220204	3.1860982191220177	3.186098219122018	3.1860982191220177	3.1860982191220164	3.1860982191220173	3.1860982191220177	3.1860982191220164	3.186098219122018	3.1860982191220173	3.1860982191220177	3.1860982191220177	3.186098219122018	3.1860982191220173	3.1860982191220177	3.1860982191220177	3.1860982191220186	6.0284945991502	2.8796280013988356	2.633054356485481	2.148887567062487	1.6248319396298212	0.8175706347665781	1.7463551443887022	3.1042150354360385	2.81487096786864	0.3973510787132255	1.6245592851019879	0.9647744951832913	1.5168905142525841	2.197083440397259	1.2862999755409013	0.7858139641072874	0.9636491540394531	5.143473010093747	3.4800099208729374	0.9818375654596365	1.2810320362333183	0.04480963055127389	1.6548132886190337	3.2245529545522365	4.202680368381012	5.2988788821359964	0.7822995546409178	1.447413106236352	5.927326732153282	2.49593476321371	1.5258959516613206	1.094112022479034	1.034359486998166	0.21396379642230734	0.3686095521777204	0.9238227396616615	5.249596014430199	0.5111905164021211	0.8669181415955352	2.920777267149666	1.8058408072998913	0.6959369772664988	1.426380130847602	1.2839613105185377	1.372473366425945	1.082387921339702	0.7672523514135448	2.012878526887093	0.9895975073541513	0.8126845707105744	2.4042802463595825	6.371837874673592	0.2045847063302754	0.9217638150123622	0.25744632758985114	1.8829971169312774	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	-4811.097416246488	-8.24217790155683	-2.762675818923902	-10.66190306488691	-4.447399657640252	-4.285431564560658	-10.472062765477093	-10.40353747079287	-6.456436863974908	-8.590161337401874	-1.6277707524460128	-2.8606746695342835	-69.83717286253511	-6.120054339966763	-23.07009356881576	-10.975669542518656	-82.91776398196745	-13.473719460848304	-2.3259334874862128	-11.745510408374539	-19.43322221458401	-17.254706634428672	-2.5208182967092556	-4.135687868277822	-15.232897517657463	-7.424281009632477	-10.439403782736361	-5.823444509330615	-10.74399811401932
5000000	-6046.344105774042	-798.8063243015991	-5247.5377814724425	2.8582899882127224	2.8582899882127153	2.8582899882127224	2.8582899882127233	2.8582899882127233	2.858289988212722	2.8582899882127224	2.8582899882127224	2.8582899882127224	2.8582899882127224	2.8582899882127224	2.8582899882127224	2.858289988212723	2.858289988212723	2.8582899882127224	2.858289988212722	2.8582899882127224	2.858289988212721	2.8582899882127224	2.858289988212722	2.858289988212723	2.858289988212722	2.8582899882127224	2.8582899882127224	2.8582899882127224	2.8582899882127233	2.858289988212722	2.8582899882127224	2.8582899882127224	2.858289988212723	4.127391408102332	2.1875702662745256	2.6693652951416054	1.3310811220159464	2.9664968596199954	2.3707810639938334	0.9271488427462687	3.049767507840833	4.541955056774062	0.41859224881483276	1.8198518875468854	0.9295571594381458	2.555514905837023	1.3238309327998403	2.0665896222627307	3.622397803212828	4.723062251080929	0.5551667985466999	0.3894299658205836	1.1598365662559553	2.281857590561066	0.6003293989153329	1.9393787381868681	3.2053660027830047	0.9136396548207284	1.3038873181766422	0.8104002909294864	2.018108948111701	8.236374140042827	1.7746565579144553	3.165161474191404	0.25634068878344257	4.614552890479155	0.17272090337151355	0.16294763907557433	2.6970340725683757	1.5825542533957693	0.8584569025722287	1.2597970607288624	0.2949008535300881	0.810648882823786	1.2281304956255847	1.180819908230149	4.8517745190593375	0.25485829779529384	1.0998482303248505	4.539046023822337	0.4773789593975777	1.0559237177944671	0.3547853129034508	1.7633320267617094	2.3256078000816753	8.824101725653668	3.836048131828034	0.29275045456361887	0.6709984371172814	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	28.0	0.0	-4865.189432153089	-14.34229696518551	-1.893974238667651	-9.745688798390484	-11.230977587391884	-2.396285588613025	-9.29071678298906	-8.391194421333148	-6.547276093736402	-8.933535643484719	-1.0788307863241307	-3.068439837222556	-65.01641883514152	-7.19513185293049	-23.44191636120439	-16.098217999801125	-81.32317124159245	-11.827748786160486	-2.2321444588044077	-15.978537468158073	-16.04366531817622	-18.41789344335327	-1.9310624276377797	-2.31115890546961	-16.05646569082438	-7.77375534034635	-6.266992277541321	-5.746182373380471	-7.768669795492074
6000000	-6022.752612432882	-810.0322043965355	-5212.720408036347	3.06113202958483	3.0611320295848277	3.0611320295848286	3.0611320295848308	3.06113202958483	3.06113202958483	3.0611320295848303	3.0611320295848294	3.0611320295848294	3.0611320295848294	3.06113202958483	3.06113202958483	3.0611320295848303	3.0611320295848303	3.061132029584829	3.0611320295848294	3.06113202958483	3.061132029584827	3.06113202958483	3.0611320295848294	3.06113202958483	3.06113202958483	3.0611320295848303	3.06113202958483	3.06113202958483	3.0611320295848303	3.061132029584829	3.0611320295848303	3.0611320295848303	3.0611320295848303	6.215258621365044	2.352167358388913	3.2435752244240033	0.35268987791879863	1.3492066650565007	0.5346036239616839	1.5389075824424407	2.3013213867514692	2.477490739695383	2.7339756303024365	1.7038416294303673	1.177853317361807	1.9051770498962948	1.3498635243584114	2.1283254979698625	5.239801979587968	1.3191415216058706	2.1108132161752517	0.9741299914214497	0.8424650292725234	0.8110094275588052	0.365533672417475	3.140652515596308	1.421740744973562	0.8582067312878597	0.23135952277973432	1.288671315502921	3.6886310549375665	3.8574891601707977	0.7502761991501096	3.8616125572589683	0.17260868895100065	0.5163076866557652	0.48897291639609675	0.9438261484480494	2.584764114254142	2.576458143977864	3.3084610356919155	2.265596903269403	1.2598248128606613	0.9679990053655124	0.5063441078152187	1.0613860910848942	0.9972655290006227	2.455039035970275	0.8024605427638667	1.1660358459870497	0.5437541743249408	0.20222967228142172	0.47699883204320415	3.2081098249793514	3.415236935964412	4.504663758083595	3.6089825928946366	1.6536034186691344	0.2746830087291183	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.0	0.0	-4851.313663033041	-13.733868708185888	-4.4528113663865785	-11.422226385540192	-11.833017441219353	-4.002666362470439	-9.973823046922185	-7.609906297897004	-6.866220123151666	-7.556042093005937	-0.9562247264387319	-1.7258640758295682	-66.83723341840931	-6.404643924851137	-20.405659169424577	-10.919297360002217	-68.34706808262725	-13.232717482201709	-1.1620896757401082	-17.93599663959768	-17.370421316899286	-12.506632363989603	-1.0003470267627053	-1.891226574522317	-13.705132081507813	-5.281054272072052	-8.420846339110678	-4.902077495420128	-10.951631153120452
7000000	-6103.556369345772	-804.2765564433375	-5299.279812902434	3.0307660118022732	3.030766011802269	3.0307660118022732	3.0307660118022737	3.0307660118022732	3.030766011802273	3.0307660118022732	3.0307660118022737	3.030766011802273	3.030766011802273	3.030766011802273	3.0307660118022732	3.030766011802273	3.0307660118022732	3.030766011802273	3.0307660118022732	3.0307660118022732	3.0307660118022732	3.030766011802273	3.0307660118022723	3.0307660118022732	3.030766011802273	3.0307660118022737	3.030766011802273	3.030766011802273	3.0307660118022737	3.0307660118022737	3.0307660118022737	3.0307660118022737	3.0307660118022737	5.879733746388942	1.7117097077881136	2.846943719211936	0.05766832170601294	1.2772190102190388	1.4044404511827158	1.0579787917716057	2.4432510425164873	2.6451385926549853	0.19117401169416945	1.6099645951685817	1.1659943808076432	1.1807245861371556	1.703093320464178	0.7421813273123209	1.175354003799996	0.10802619009913701	0.15452653207855796	0.4164900765860401	1.19890738896413	0.6265850576905128	0.8809480804442865	0.85446836386596	0.6370159411718287	2.4398677690680928	3.9400682369658724	0.845652061075174	3.411108565104958	7.350715100697384	1.4768036969287006	1.3765473130057322	0.1853040052509303	1.4871619929386755	0.4633375749063569	1.187432285597682	0.9937090476270218	2.368633792646316	0.45579587719412357	1.0706001725590915	0.1896162700538138	0.4944815246646024	1.7224850461031356	0.16018146105920758	1.0272676008883592	2.408385369057144	1.3690005022099034	5.323050986569181	1.2512483374145589	2.6121601048803593	0.2811754457921307	0.897183550130657	1.49166859081977	0.37648652944512023	0.20418180924472468	0.04872978393757074	1.9161166781666898	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	-4931.883791972365	-8.525862643051411	-3.236649113253358	-11.306817958864814	-4.116072258257184	-2.730745681464994	-8.830573334139311	-8.770788379275432	-9.408784486054682	-7.169124183822585	-1.996342908537161	-2.3522540774954463	-61.38744864269185	-7.77510745551144	-26.042957170749702	-18.735454749086518	-66.09843042826633	-15.899864437510839	-3.700598729027186	-11.27568955711077	-16.100383971217187	-17.903694047321874	-1.9719203039719806	-3.7497593014212223	-16.12987076070207	-7.454813251089888	-9.420886088286606	-7.56297756884565	-7.742149443040036
8000000	-5987.81366459631	-709.7122743789639	-5278.101390217346	2.643574294989067	2.6435742949890577	2.643574294989067	2.6435742949890675	2.6435742949890675	2.643574294989067	2.6435742949890675	2.6435742949890675	2.643574294989066	2.643574294989067	2.643574294989067	2.643574294989067	2.643574294989067	2.6435742949890666	2.643574294989066	2.6435742949890666	2.6435742949890675	2.643574294989066	2.643574294989067	2.6435742949890666	2.643574294989068	2.643574294989066	2.643574294989067	2.643574294989067	2.643574294989067	2.643574294989067	2.643574294989067	2.6435742949890675	2.6435742949890675	2.6435742949890675	3.4540750018136532	1.0050727389342504	1.53156525409266	0.4038179115523555	1.8992705535725947	0.5317693943456081	1.2820669066900239	2.1902636491449856	3.7110966995652515	0.0797131800507036	1.372751737600076	0.8699371500002596	1.4641641047104892	4.324004821185258	0.6357020572015786	3.52563817428314	0.626722164619652	0.5720967895239887	0.3385388299864628	1.2215211416649268	1.2019802759898277	0.9142023132419628	0.190920818712312	1.2752355023511677	0.026589653845444244	0.5037635040643992	0.42741901715928043	0.8711320947150909	4.791335518802543	1.529274378444625	1.5437138716790233	0.5158263517711603	0.4483066957315449	0.831331607429372	0.8542876956001705	1.6469319429197389	0.5739776452223587	3.9627813656186057	0.5558865002110367	1.0918275265392563	0.05768407642484655	1.4943083296098087	4.334471360977706	2.4597952319423295	0.28845370007559606	0.8603683385539742	0.772715904562755	2.037028823169039	0.4710589429524354	0.7252232627092512	0.32918070821280615	2.4851751424178885	1.7916629499019894	2.069130477136932	1.6328588297867928	2.98028012721168	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	-4888.603410447907	-14.999340362258888	-4.025485714402075	-11.00962662846837	-12.042718759290635	-1.7602314471217613	-10.169443835606296	-5.138536591562212	-6.010506762083946	-7.1544464569356085	-1.7043682583738065	-2.0984753109279097	-67.7009073312571	-8.860539174012217	-23.73098150635889	-14.798737420380318	-77.94855003340601	-14.648262669463726	-2.2812247975332736	-14.57687632186974	-19.719636339010503	-19.293261788670346	-2.3862890877163574	-1.5831803364418213	-16.11330450792587	-8.262332550007077	-6.433908859094185	-5.238314487761532	-9.808492431500712
