# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Jul 10 11:05:21 CEST 2022 [seed=1657443919963]
# All_clades.xml
state	location.rates.NewYork.Bronx	location.rates.NewYork.Kings	location.rates.NewYork.Queens	location.rates.NewYork.Richmond	location.rates.NewYork.Nassau	location.rates.NewYork.Suffolk	location.rates.NewYork.Westchester	location.rates.Bronx.Kings	location.rates.Bronx.Queens	location.rates.Bronx.Richmond	location.rates.Bronx.Nassau	location.rates.Bronx.Suffolk	location.rates.Bronx.Westchester	location.rates.Kings.Queens	location.rates.Kings.Richmond	location.rates.Kings.Nassau	location.rates.Kings.Suffolk	location.rates.Kings.Westchester	location.rates.Queens.Richmond	location.rates.Queens.Nassau	location.rates.Queens.Suffolk	location.rates.Queens.Westchester	location.rates.Richmond.Nassau	location.rates.Richmond.Suffolk	location.rates.Richmond.Westchester	location.rates.Nassau.Suffolk	location.rates.Nassau.Westchester	location.rates.Suffolk.Westchester	location.rates.Bronx.NewYork	location.rates.Kings.NewYork	location.rates.Queens.NewYork	location.rates.Richmond.NewYork	location.rates.Nassau.NewYork	location.rates.Suffolk.NewYork	location.rates.Westchester.NewYork	location.rates.Kings.Bronx	location.rates.Queens.Bronx	location.rates.Richmond.Bronx	location.rates.Nassau.Bronx	location.rates.Suffolk.Bronx	location.rates.Westchester.Bronx	location.rates.Queens.Kings	location.rates.Richmond.Kings	location.rates.Nassau.Kings	location.rates.Suffolk.Kings	location.rates.Westchester.Kings	location.rates.Richmond.Queens	location.rates.Nassau.Queens	location.rates.Suffolk.Queens	location.rates.Westchester.Queens	location.rates.Nassau.Richmond	location.rates.Suffolk.Richmond	location.rates.Westchester.Richmond	location.rates.Suffolk.Nassau	location.rates.Westchester.Nassau	location.rates.Westchester.Suffolk	location.indicators.NewYork.Bronx	location.indicators.NewYork.Kings	location.indicators.NewYork.Queens	location.indicators.NewYork.Richmond	location.indicators.NewYork.Nassau	location.indicators.NewYork.Suffolk	location.indicators.NewYork.Westchester	location.indicators.Bronx.Kings	location.indicators.Bronx.Queens	location.indicators.Bronx.Richmond	location.indicators.Bronx.Nassau	location.indicators.Bronx.Suffolk	location.indicators.Bronx.Westchester	location.indicators.Kings.Queens	location.indicators.Kings.Richmond	location.indicators.Kings.Nassau	location.indicators.Kings.Suffolk	location.indicators.Kings.Westchester	location.indicators.Queens.Richmond	location.indicators.Queens.Nassau	location.indicators.Queens.Suffolk	location.indicators.Queens.Westchester	location.indicators.Richmond.Nassau	location.indicators.Richmond.Suffolk	location.indicators.Richmond.Westchester	location.indicators.Nassau.Suffolk	location.indicators.Nassau.Westchester	location.indicators.Suffolk.Westchester	location.indicators.Bronx.NewYork	location.indicators.Kings.NewYork	location.indicators.Queens.NewYork	location.indicators.Richmond.NewYork	location.indicators.Nassau.NewYork	location.indicators.Suffolk.NewYork	location.indicators.Westchester.NewYork	location.indicators.Kings.Bronx	location.indicators.Queens.Bronx	location.indicators.Richmond.Bronx	location.indicators.Nassau.Bronx	location.indicators.Suffolk.Bronx	location.indicators.Westchester.Bronx	location.indicators.Queens.Kings	location.indicators.Richmond.Kings	location.indicators.Nassau.Kings	location.indicators.Suffolk.Kings	location.indicators.Westchester.Kings	location.indicators.Richmond.Queens	location.indicators.Nassau.Queens	location.indicators.Suffolk.Queens	location.indicators.Westchester.Queens	location.indicators.Nassau.Richmond	location.indicators.Suffolk.Richmond	location.indicators.Westchester.Richmond	location.indicators.Suffolk.Nassau	location.indicators.Westchester.Nassau	location.indicators.Westchester.Suffolk	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	56.0
10000	4.502631995275207	2.2340305564345067	2.8276337413003167	0.807313225261016	1.0555079904565194	0.8293320045191174	0.604844186849403	2.1942434415321297	1.2976085206513044	0.8979738134654315	1.4285002157191538	0.1261929332696588	2.631624455278335	1.377545312935451	4.582152730551271	0.4199918220156983	0.4709919209121024	0.9202889435641003	0.3083209481818091	1.6075129618306487	0.1605476971010671	5.85046306578464	4.946520832072917	5.909032149666533	0.5777481040463799	1.3647345525162669	0.6257687630948505	0.1013447805209623	6.116651823531736	1.0095106581700746	0.5249495366478166	0.283901976329593	1.1663352811106795	3.4832946455247518	1.0723295617041493	0.5656617849282424	1.0474727910197925	0.9955672566535758	4.0879609737572	0.4091530054530387	1.102908091044488	1.903917226833405	3.737810127351337	0.5098955188776224	1.3190977361248686	4.807580192566268	3.8404791722064884	0.8653406078053582	0.17632690215817154	2.133805106846493	3.8878604541330093	1.056873858359346	1.219289088473629	1.6522001570580735	2.4720625984785247	0.3018488492766962	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0
20000	3.3904018810752024	2.3411187354160834	2.6268673312271216	0.46563958232087044	1.2105630133159575	0.6593197258379386	1.3182411146511612	1.7938790697335414	1.2422492351207655	0.30062963980469604	1.3899286188888071	0.38568873928940733	2.039701332973945	1.5317287067601928	1.5761248538992003	0.602547372322415	0.5427970689207494	0.783965324650563	0.5309190455774235	0.8198115084395957	0.43662402250661503	7.279197201571949	5.241743667103325	2.428915387413971	4.177592009170075	1.112267286661257	1.7159830929086928	0.24601878816227202	6.714166768757892	2.310588807951537	0.3929419654533965	0.3532907239093712	0.39888802025916237	3.1226020573358504	2.3340510044390643	0.7647867109974888	1.0519080895741744	1.8278499069128922	1.7105226221464538	0.20731580951206338	1.7781813227551229	1.0499160341346363	3.931328646234574	0.6981228381634064	0.6675500177309778	2.313496459116817	1.8912948057191608	0.919627562768259	0.33608913250465783	2.0228954142713174	1.9701039815618262	0.439111021115197	1.2247621880726796	0.4485422913033007	3.7189115480676294	0.4055078575744536	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
30000	3.829062832897583	1.5775700683737803	3.238762513618056	0.43364855303470584	1.5023157304874795	0.6556216421695601	0.28009294568590876	2.6145361631891975	2.0668429012123757	1.3096030302153019	1.4768282554766574	0.3998340072175242	2.1787479542898676	0.7808640614531179	2.1221717347875066	0.7311557071175486	0.4065690365126858	0.6665162815174853	0.6111133151614865	1.0912506573789233	0.2386831800318305	0.8656159115836888	2.116990491250814	2.3284232612584517	3.0625597099251047	1.626099929149845	2.3045224234072648	0.3584364208380879	7.719261899294593	1.8198693026737556	1.6081693261557022	0.6244194080339531	0.8787775561605412	1.282088810685389	0.7101687485050756	0.7695178371316125	1.1856851857374493	0.8469603140734399	0.9432708467272183	0.4880525546568234	2.672359076005955	1.7773326825528968	2.7934913253478277	0.9032880003788246	1.4389765484322807	2.935156809789739	1.321205657824115	2.083632013423253	0.18320992481020942	1.391306122567319	2.039181513258334	0.5120777391098961	0.8830751201490814	1.0642472068454987	4.874071076688576	0.49157620420637627	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
40000	3.9363111376687185	2.748916536171533	4.16584682471943	0.5789514684108213	1.219989225179519	1.0439415875160623	0.7261939406766619	2.0301057749072644	1.93286351579172	0.3122007923168886	2.0596586621854	0.5890863510810903	1.7417251675274892	1.3295252819469066	0.8822143283339778	0.7482429052399604	0.33280147132249704	0.7671201855552772	0.46759965049677427	1.5780131240047128	0.42469081784447604	1.3103391812605012	0.5860140422038373	0.7188465630327365	1.8976996093077347	1.8160929213968795	2.311949653491773	0.3685743206196542	7.167476275546284	1.1673817432845417	0.8565263541454128	0.34288707681750435	0.7368036752469126	2.3592294983073474	0.8620716267727533	0.9091500234937753	1.9728746437859104	0.4844461928210756	0.6926690827936426	0.25106597822936644	3.2599177823909136	1.4964983276705182	1.8915831807796555	1.4034290262985916	0.1754859852889437	3.4164144131886274	1.2091132969352578	1.1565119293505473	0.8417409107938086	1.0808644708481319	0.7340765980725937	0.3969406981519647	1.0447664589112302	0.6661141587321598	3.8989996557166346	0.2994645952565462	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
50000	3.986783615739295	3.837212724161892	4.467261694400574	0.7532896659825917	2.03298309172919	0.7952883818799816	0.4180962822658365	1.4462761695367565	1.5421631085670957	0.106752935029704	1.5463396861659564	0.293155754582023	2.114787789894923	1.126356049670758	1.0041410384338292	0.8646465870961897	0.490550332526581	2.011493355285866	0.5713300297234254	1.7318002042912217	0.18123554729965208	1.0720230802222812	2.753275335947211	1.2163127321483012	1.5546407358221677	1.4758958626247796	1.6778520870865519	0.16523688370955916	7.87133293597371	0.6315519293072608	0.7065311858433705	0.2751060661191895	0.6446252870611889	5.509424312204963	1.2463016880651712	0.7501319852422685	1.5249934836390793	0.22951440668143225	1.5215246675876792	0.14613989283020834	1.690351589717649	2.1336926704955808	0.6872172045676828	0.6459313481739171	0.10381450423572379	0.6155263693656929	0.7955790577633444	1.1832098017241426	0.9101197596636804	1.4278609465626977	1.011061032332022	0.32587555886763775	4.074064466807879	1.6531220557832782	2.134993973381199	0.1447030191719498	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
60000	3.6755430544878296	2.6041575227964784	2.8233095112482847	0.28382620863218877	1.0857217347038974	0.4251405271455082	0.30381879311040355	1.2554461026967265	1.5350980305994137	0.025174503005451845	0.9251534201507108	0.02467278255018347	1.7062070984056499	1.361342696317491	0.28268584200230007	1.3858281364499507	0.9497198214903979	0.36988307121254405	0.6316311088681846	1.5733081069751842	0.1953826704314304	1.7603959722433142	1.1763034752855448	3.6054395674846393	2.0265554055564263	1.3340952214383133	2.4360999727838637	0.15477599725812202	6.161363442742892	0.5842455985368007	0.93059414274662	0.41687800323331875	0.33035087089088216	2.4509243322075154	0.9688730197123149	1.8854992453815194	0.6317681938808978	0.17354630299941012	2.543254429580018	0.2951057357092333	1.7288396131099508	1.806303301626563	1.2429058006973328	1.0723584751654602	0.22929889969205844	0.6394839534455016	5.105939417436059	0.7026373654968973	1.2958737525970159	0.869984685488805	0.2940560758614662	0.3250050763857191	2.4281665136832773	2.4000727978882748	1.1109591849723772	0.21077565958948033	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
70000	3.5552912293700167	1.7120001866474308	2.565605349378346	0.25093411735517346	1.1124045418489177	0.28183218435501367	0.6249207092251702	0.9647821082754434	1.0288526562248568	0.09096112118619581	0.9459647292522105	0.08490260676392813	1.6399512466623143	1.3342896032481528	0.3891967419203667	2.2325174499044738	0.5453406342400188	0.5101051486721716	0.8359502186422378	1.2268544942541582	0.24205276633173173	5.555864575635034	0.8822995991724562	1.6860691141086979	1.129232413082759	1.4516925302851036	1.6133510176637555	0.27951570605046105	5.462673845729473	0.6776561206516762	0.23572701068897914	0.11935195222864417	0.41403576230402167	4.470307032560516	2.608758370341103	0.8885763752826622	0.9772428248748677	0.31689668952152805	0.5949662122556721	1.0235940115403912	1.4404305580742292	1.5660222783611089	1.1007253962236965	0.4299117290555387	0.2686925394625198	3.776574227942184	1.757428241338809	0.8831516097417954	0.5305949848753156	1.4948257300200667	0.3613333046561836	0.9756378574539952	1.2920718156410138	2.9700057868459457	1.0719597353626744	0.9471538688106014	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	32.0
80000	3.3843784123536302	1.3357794240140575	2.214051247496706	0.43700462212145136	1.4337913884206561	0.25375324628603224	0.536977918995279	1.0658846767953292	1.3883591007104716	0.02110167699351768	0.8106174583699867	1.0056291712275323	1.6196942881172158	1.0202929171016086	0.14714033784294492	1.4778329160483352	0.598449532175818	0.5120453422932874	0.5256424673438306	1.4484546410376242	0.17410097310064243	1.4727218570457044	0.07677688091376245	1.1343156857347332	1.0234841978438742	0.9853368994569172	0.6679885237318688	0.30687211650065077	5.186161459961592	0.7344361274098153	0.4493260612089562	0.11302256863564028	0.24541667129836642	3.370937788041846	1.691020021332131	0.6970515536685573	1.063492444263889	0.4707874067343177	0.6341820414089531	1.9888028047745014	2.120916958472036	1.3787530242577133	0.30996212702323694	0.5997377487389923	0.09328860411486871	1.512298599331235	0.3854897031557329	1.01075130750035	0.24368791173831908	0.7507984468727239	0.43013333497553	1.1673619595380331	0.8422929904406266	1.720897343697101	1.9910790994957712	1.9537721229396736	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	31.0
90000	2.1413230379673074	1.3293822752920583	1.913253670863318	0.3753105646451105	0.7921146145163112	0.4216755865716316	0.44306969022908294	1.2795736050531792	0.9123093488508871	0.004349960300141414	0.7909119612452303	1.0052716820907792	1.0018202810907508	1.4939702347842485	0.18203281744018524	1.1904608375390882	0.2974866079788405	0.6155794287639637	0.1284262355291924	1.0566648478503624	0.49540107042423065	0.6217321975436213	0.12319829965082936	3.36692899138379	0.3886016329585448	0.6951573199943086	1.3039852927372904	0.14823061100344492	4.557611270231347	0.7755962099573341	1.2255163144014027	0.2168882157855049	0.3952662956541584	3.2546744224436557	0.3812777528363378	0.7236193552084267	0.7321601025550372	1.1296354805317614	0.06069770238894409	4.665291503900096	1.2375626643484916	1.0323758908092677	0.1938777781452218	0.8485788060756466	0.4414452634527045	0.501633064539375	0.15624098890903765	0.3549066322085573	1.9784563590127857	0.7651828460261736	0.27522799598110875	0.9199028864196196	0.3324681927189186	0.4112165719618108	0.6532113745145548	0.8881540620896348	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
